"filename", "language", "JavaScript", "PostCSS", "comment", "blank", "total"
"d:\ReactProjects\financetracker\src\App.css", "PostCSS", 0, 6, 0, 1, 7
"d:\ReactProjects\financetracker\src\App.js", "JavaScript", 22, 0, 0, 3, 25
"d:\ReactProjects\financetracker\src\components\Button\index.js", "JavaScript", 13, 0, 0, 4, 17
"d:\ReactProjects\financetracker\src\components\Button\styles.css", "PostCSS", 0, 28, 0, 0, 28
"d:\ReactProjects\financetracker\src\components\Cards\index.js", "JavaScript", 24, 0, 0, 2, 26
"d:\ReactProjects\financetracker\src\components\Cards\styles.css", "PostCSS", 0, 21, 0, 5, 26
"d:\ReactProjects\financetracker\src\components\Charts\index.js", "JavaScript", 72, 0, 5, 8, 85
"d:\ReactProjects\financetracker\src\components\Charts\styles.css", "PostCSS", 0, 31, 1, 5, 37
"d:\ReactProjects\financetracker\src\components\Header\index.js", "JavaScript", 52, 0, 2, 7, 61
"d:\ReactProjects\financetracker\src\components\Header\styles.css", "PostCSS", 0, 39, 51, 5, 95
"d:\ReactProjects\financetracker\src\components\Input\index.js", "JavaScript", 17, 0, 0, 2, 19
"d:\ReactProjects\financetracker\src\components\Input\styles.css", "PostCSS", 0, 21, 0, 0, 21
"d:\ReactProjects\financetracker\src\components\Modals\CurrentBalance.js", "JavaScript", 40, 0, 0, 5, 45
"d:\ReactProjects\financetracker\src\components\Modals\addExpense.js", "JavaScript", 84, 0, 0, 8, 92
"d:\ReactProjects\financetracker\src\components\Modals\addIncome.js", "JavaScript", 65, 0, 0, 8, 73
"d:\ReactProjects\financetracker\src\components\NoTransactions.js", "JavaScript", 22, 0, 1, 3, 26
"d:\ReactProjects\financetracker\src\components\SignupSignin\index.js", "JavaScript", 224, 0, 11, 11, 246
"d:\ReactProjects\financetracker\src\components\SignupSignin\styles.css", "PostCSS", 0, 144, 18, 25, 187
"d:\ReactProjects\financetracker\src\components\TransactionsTable\index.js", "JavaScript", 203, 0, 8, 29, 240
"d:\ReactProjects\financetracker\src\components\TransactionsTable\styles.css", "PostCSS", 0, 84, 9, 18, 111
"d:\ReactProjects\financetracker\src\firebase.js", "JavaScript", 19, 0, 6, 2, 27
"d:\ReactProjects\financetracker\src\index.css", "PostCSS", 0, 33, 0, 1, 34
"d:\ReactProjects\financetracker\src\index.js", "JavaScript", 10, 0, 0, 5, 15
"d:\ReactProjects\financetracker\src\pages\Dashboard.js", "JavaScript", 194, 0, 1, 25, 220
"d:\ReactProjects\financetracker\src\pages\signup.js", "JavaScript", 15, 0, 1, 2, 18
"d:\ReactProjects\financetracker\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 2, 14
"d:\ReactProjects\financetracker\src\setupTests.js", "JavaScript", 1, 0, 4, 1, 6
"Total", "-", 1089, 407, 118, 187, 1801
